datetime,line_id,inflow_m3d,per
2018-01-01,652770,99510.3,0
2018-02-01,652770,875612.0,1
2018-03-01,652770,345300.0,2
2018-04-01,652770,252969.0,3
2018-05-01,652770,174424.0,4
2018-06-01,652770,278105.0,5
2018-07-01,652770,79218.2,6
2018-08-01,652770,83871.1,7
2018-09-01,652770,143566.0,8
2018-10-01,652770,72679.2,9
2018-11-01,652770,149813.0,10
2018-12-01,652770,249751.0,11
2018-01-01,652914,92217.1,0
2018-02-01,652914,848994.0,1
2018-03-01,652914,334635.0,2
2018-04-01,652914,290602.0,3
2018-05-01,652914,154187.0,4
2018-06-01,652914,274254.0,5
2018-07-01,652914,79486.1,6
2018-08-01,652914,78745.0,7
2018-09-01,652914,130865.0,8
2018-10-01,652914,71305.4,9
2018-11-01,652914,139152.0,10
2018-12-01,652914,257972.0,11
2018-01-01,756146,140030.0,0
2018-02-01,756146,1873470.0,1
2018-03-01,756146,722143.0,2
2018-04-01,756146,613525.0,3
2018-05-01,756146,519249.0,4
2018-06-01,756146,530224.0,5
2018-07-01,756146,95093.0,6
2018-08-01,756146,84760.1,7
2018-09-01,756146,124362.0,8
2018-10-01,756146,82618.9,9
2018-11-01,756146,295497.0,10
2018-12-01,756146,582190.0,11
2018-01-01,756300,94374.4,0
2018-02-01,756300,977170.0,1
2018-03-01,756300,313255.0,2
2018-04-01,756300,274312.0,3
2018-05-01,756300,173607.0,4
2018-06-01,756300,268013.0,5
2018-07-01,756300,76405.8,6
2018-08-01,756300,101879.0,7
2018-09-01,756300,100513.0,8
2018-10-01,756300,59853.8,9
2018-11-01,756300,145476.0,10
2018-12-01,756300,239900.0,11
2018-01-01,756368,96673.7,0
2018-02-01,756368,1046510.0,1
2018-03-01,756368,326562.0,2
2018-04-01,756368,279847.0,3
2018-05-01,756368,184564.0,4
2018-06-01,756368,278653.0,5
2018-07-01,756368,80499.7,6
2018-08-01,756368,116648.0,7
2018-09-01,756368,89206.3,8
2018-10-01,756368,63871.8,9
2018-11-01,756368,153424.0,10
2018-12-01,756368,250818.0,11
2018-01-01,756766,96168.5,0
2018-02-01,756766,1040010.0,1
2018-03-01,756766,334836.0,2
2018-04-01,756766,289303.0,3
2018-05-01,756766,213562.0,4
2018-06-01,756766,279069.0,5
2018-07-01,756766,91152.6,6
2018-08-01,756766,94990.3,7
2018-09-01,756766,86963.8,8
2018-10-01,756766,61321.9,9
2018-11-01,756766,155732.0,10
2018-12-01,756766,250913.0,11
2018-01-01,758260,205769.0,0
2018-02-01,758260,2319710.0,1
2018-03-01,758260,1256490.0,2
2018-04-01,758260,1029800.0,3
2018-05-01,758260,605926.0,4
2018-06-01,758260,426727.0,5
2018-07-01,758260,141859.0,6
2018-08-01,758260,242034.0,7
2018-09-01,758260,281119.0,8
2018-10-01,758260,162328.0,9
2018-11-01,758260,411759.0,10
2018-12-01,758260,876278.0,11
2018-01-01,1018005,721255.0,0
2018-02-01,1018005,6492650.0,1
2018-03-01,1018005,3284630.0,2
2018-04-01,1018005,1169330.0,3
2018-05-01,1018005,350477.0,4
2018-06-01,1018005,180236.0,5
